ENTRADA / RADICADO,ÁREA RESPONSABLE,ASUNTO
15300-2024-1804,DIRECCIÓN ABASTECIMIENTO,Solicitud Insumos Conciliación Extrajudicial Laura Daniela Alvarado Leon y Otros.
1230001-2025-193,DABA,RESPUESTA MEMORADO 2531001-2025-554. – FICHAS DE INSCRIPCIÓN DE PROYECTOS DE INVERSIÓN PARA EL PROYECTO “ADQUISICION DE EQUIPOS DE LABORATORIO PARA LAS PLANTAS DE TRATAMIENTO DE LA DIRECCION DE ABASTECIMIENTO DE LA EAAB-ESP”
1330001-2025-0151,DRT_DABA,Reiteración confirmación saldo estimado tasa de uso y factor regional MI 1330001-2024-0629
1330001-2025-0178,DIRECCIONES_GERENCIA,Partidas antiguas de la cuenta contable de estudios y proyectos
E-2026-073189,DABA,SOLICITUD DE INFORMACIÓN
E-2026-074213,DABA,REQUERIMIENTO -4450722026  -DERECHO DE PETICIÓN - GENERAL
1190001-2026-091,DABA,ACTA DE LIQUIDACIÓN CONTRATO DE SUMINISTRO NO. 2-06-25300-1499-2024 AVISO SAP NO.  700068396 Y NO. ORDEN 8400082554
1190001-2026-0914,DABA,"ACTA DE LIQUIDACIÓN ORDEN DE COMPRA N° 139909, CONTRATO DE SUMINISTRO NO. 9-06-25300- 1838-2024, AVISO SAP NO. 700068404 Y ORDEN NO. 8400082555"
1330001-2026-0217,DABA,CANCELACIÓN CXC - INFORME CONTRALORÍA PDVCF-202
1471001-2026-0294,DABA,REITERACIÓN – CONTRATOS NOS. 2-02-25100-0393-2017 2-02-25100-0597-2017 2-02-25100- 1240-2018 Y 2 15-25100-0547-2017
E-2026-065834,DABA,SE GENERÓ UNA RESPUESTA A SU RADICADO NO. 202600600501979592 CON EL NÚMERO 202600601502456621  SOLICITUD DE INTERVENCION POR MALA CALIDAD DEL AGUA EN LA SABANA DE BOGOTÁ
1190001-2026-0850,DABA,ACTA DE LIQUIDACIÓN CONTRATO DE PRESTACIÓN DE SERVICIOS NO. 2-05-25300-1736-2024 AVISO SAP NO. 700068173 Y NO. ORDEN 8400082464
1530001-2026-0917,DABA,SOLICITUD DE DISEÑOS PLANTA ANTIGUA Y OBRAS NUEVAS – DICTAMEN PTAP TIBITOC
1210001-2026-0117,DABA,SOLICITUD INFORMACIÓN ATENCIÓN A FENÓMENO DE EL NIÑO
1190001-2026-0879,DABA,"ACTA DE LIQUIDACIÓN CONTRATO DE SUMINISTRO NO. 9-06-25300-1840-2024 ORDEN DE COMPRA CCE 139910, AVISO SAP NO. 700068193 Y NO. DE ORDEN 8400082465."
E-2026-066896,DABA,VALORES DE COLOR NO ACEPTABLES PERSISTENTE PARA LA RED DE DISTRIBUCIÓN DE AGUA POTABLE EMSERCHIA ESP .2026.DVC 0721
1330001-2026-0200,DABA,CUENTA POR COBRAR - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO Y ASEO DE PUERTO ASÍS
1530001-2026-0749,DABA,INFORMA SENTENCIA PROFERIDA EN EL PROCESO NO. 25000-23-36-000-2022-00131-01 SEGUROS DEL  ESTADO S.A. Y ZURICH COLOMBIA SEGUROS S.A. VS EAAB ESP.
1330001-2026-096,DABA,RESPUESTA MEMORANDO NO. 2531001-2026-071
15300-2026-24,DRM_DABA_DBR,SOLICITUD INFORMACIÓN PARA CUMPLIMIENTO DEL REQUERIMIENTO FORMULADO DENTRO DE ACCIÓN POPULAR DE RÍO BOGOTÁ 250002315-000-2001-00479-02 – AUTO 3066.
E-2026-073165,DRT_DABA,ENVIO DOCUMENTO SECRETARIA DISTRITAL DE AMBIENTE RADICADO NO. 2026EE128204
3131003-2026-068,DRM_DABA,"SOLICITUD CONCEPTO PARA PRESTACIÓN DEL SERVICIO DE ACUEDUCTO PREDIO PROYECTO ARIAL – SOPÓ (FIDEICOMISO ZOL SOPO) / SUELO RURAL MUNICIPIO DE SOPÓ, CUNDINAMARCA /  RADICADO E-2026-068338"
3050001-2026-1766,DRM_DABA,SOLICITUD ACTUALIZACIÓN DEL EMERGENCIA Y CONTINGENCIA FALLA O DAÑO EN EL SISTEMA
2631001-2026-0143,DIRECCIONES,MANTENIMIENTO MAQUINARIA PESADA Y ESPECIALIZADA
