"ENTRADA / RADICADO","ÁREA RESPONSABLE","ASUNTO"
"15300-2024-1804","DIRECCIÓN ABASTECIMIENTO","Solicitud Insumos Conciliación Extrajudicial Laura Daniela Alvarado Leon y Otros."
"1471001- 2024-0362","TODAS LAS DIRECCIONES","Reiteración memorandos sobre concepto técnico de los activos fijos para proceso de depuración"
"1230001-2025-193","DABA","RESPUESTA MEMORADO 2531001-2025-554. – FICHAS DE INSCRIPCIÓN DE PROYECTOS DE INVERSIÓN PARA EL PROYECTO “ADQUISICION DE EQUIPOS DE LABORATORIO PARA LAS PLANTAS DE TRATAMIENTO DE LA DIRECCION DE ABASTECIMIENTO DE LA EAAB-ESP”"
"E-2025-144312","DABA","PARA ASIGNAR RV: ENVÍO OFICIO NO. 20252108792 ASUNTO: BOLETÍN DEUDORES MOROSOS DEL ESTADO II SEMESTRE 2025"
"11900-2025-5716","DABA","DEVOLUCIÓN ACTA DE LIQUIDACIÓN CONTRATO DE INTERVENTORÍA 1-15-25300-1181-2017 AVISO SAP NO. 700067171 Y NO. ORDEN 8400080524"
"1330001-2025-0151","DRT_DABA","Reiteración confirmación saldo estimado tasa de uso y factor regional MI 1330001-2024-0629"
"1330001-2025-0178","DIRECCIONES_GERENCIA","Partidas antiguas de la cuenta contable de estudios y proyectos"
"(2026) RECIBO DE CAJA_950004121","DABA","27. RECIBO DE CAJA A&A CONSULTORIA E INGENIERIA S.A.S_950004121"
"E-2026-050049","DABA","SL-2026-0224 LA EAAB E.S.P. VIOLÓ LA LIBERTAD SINDICAL CON LA DECISIÓN SINDICAL DEL DIRECTOR DE ABASTECIMIENTO DE IMPEDIR QUE LOS GUARDABOSQUES CONTARAN CON EL ACOMPAÑAMIENTO DE SINTRAEMSDES"
"1190001-2026-0655","DABA","RESPUESTA AL MEMORANDO INTERNO NO. 2532001-2026-099"
"E-2026-053550","DABA","SOLICITUD DE VISITA DE CONTROL SOCIAL A OBRAS DE TIBITOC"
"E-2026-055894","DABA","SL-2026-0246 PREOCUPACIÓN POR LA ESCASEZ DE INSUMOS QUÍMICOS PARA LA OPERACIÓN DE LA PTAP WIESNER"
"1530001-2026-0789","DABA","SOLICITUD INFORMACIÓN COBRO COACTIVO NO. 14517"
"190001-2026-0730","DABA","ACTA DE LIQUIDACIÓN CONTRATO DE SUMINISTRO NO. 1-06-25300-1764-2024, AVISO SAP NO. 700068024 NO. ORDEN 8400082322"
